	GSM461176_untreat_single_featureCounts.counts	GSM461177_untreat_paired_featureCounts.counts	GSM461178_untreat_paired_featureCounts.counts	GSM461182_untreat_single_featureCounts.counts	GSM461181_treat_paired_featureCounts.counts	GSM461180_treat_paired_featureCounts.counts	GSM461179_treat_single_featureCounts.counts
FBgn0250732	1159.72839477312	1213.33837602726	1244.55948687904	1247.50499330866	1051.75746305442	1090.77053662496	874.22856885554
FBti0060344	0	0	0	0	0	0	0
FBgn0286036	0	0	0	0	0	0	0
FBgn0037409	2.50481294767413	0	0	0	0	1.49420621455475	0
FBgn0027948	7957.28977217117	7532.03130349228	6289.66021513109	7123.3618455594	7563.04751828712	8748.57738621803	9371.07996213536
FBgn0038675	288.053488982525	219.334244897235	249.215819106426	220.000880583491	264.786714937589	264.47449997619	238.61667596237
FBgn0264900	0	0	0	0	0	1.49420621455475	0
FBgn0000500	2.50481294767413	1.55556202054777	4.5588259592639	0.83333666887686	8.62096281192149	7.47103107277373	4.19545803889881
FBgn0261504	0	1.55556202054777	0	0	0	0	0
FBgn0037610	182.350382590677	206.889748732853	229.460906616283	194.167443848308	236.460694269847	270.451324834409	164.671728026778
FBgn0053095	0	0	0	0	0	0	0
FBgn0038070	1.00192517906965	1.55556202054777	0	0.83333666887686	1.23156611598878	0	3.67102578403646
FBgn0267571	8.01540143255721	4.6666860616433	4.5588259592639	1.66667333775372	6.15783057994392	1.49420621455475	3.14659352917411
FBgn0261859	1119.1504250208	1213.33837602726	1034.8534927529	867.503472300811	1288.21815732427	1371.68130496126	1235.5623924557
FBgn0262389	0	0	0	0	0	0	0
FBgn0037363	1848.55195538351	1988.00826226005	1742.9911250919	1581.67299752828	1530.83668217406	1434.43796597256	1477.32566194724
FBgn0039552	0.500962589534826	0	0	0	0	0	0
FBgn0267797	0.500962589534826	0	0	0	0	0	0
FBgn0039732	142.774338017425	141.556143869847	162.598125880412	121.667153656022	134.240706642777	132.984353095372	179.355831162924
FBgn0038224	1091.59748259638	983.115196986188	1054.60840524305	1149.17126638119	1121.95673166578	1135.59672306161	1327.33803705661
FBgn0264776	269.517873169736	213.111996815044	291.764861392889	282.501130749255	204.439975254138	212.177282466774	269.558178999249
FBgn0038525	0	0	0	0	0	0	0.524432254862352
FBgn0262397	0	0	0	0	0	0	0
FBti0019351	0.500962589534826	0	0	0	0	0	0
FBti0019410	0	0	0	0	0	0	1.0488645097247
FBgn0262899	0	0	0	0	0	0	1.0488645097247
FBgn0261436	671.289869976666	808.892250684838	855.539671688524	718.336208571853	832.538694408418	724.690014059052	653.44258955849
FBti0063117	0	0	0	0	0	0	0
FBgn0262378	0.500962589534826	0	0	0	0	0	0
FBgn0038814	3.00577553720895	0	0	1.66667333775372	2.46313223197757	4.48261864366424	3.14659352917411
FBgn0286871	0	0	0	0	0	0	0
FBgn0267809	0.500962589534826	0	1.51960865308797	0	0	1.49420621455475	0.524432254862352
FBgn0038279	2.50481294767413	0	0	0.83333666887686	0	2.98841242910949	2.09772901944941
FBgn0037625	0	0	0	0.83333666887686	1.23156611598878	0	0
FBgn0053093	0.500962589534826	0	0	0	0	0	1.0488645097247
FBti0062189	0	0	0	0	0	0	0
FBti0019436	3.00577553720895	3.11112404109553	3.03921730617593	0.83333666887686	2.46313223197757	0	2.09772901944941
FBgn0051579	0	0	0	0	0	0	0
