category	de_genes
GO:0005576	FBGN0026562,FBGN0039155,FBGN0029167,FBGN0000071,FBGN0040099,FBGN0023479,FBGN0011260,FBGN0262733,FBGN0283437,FBGN0037290,FBGN0001137,FBGN0003137,FBGN0040271,FBGN0033367,FBGN0039257,FBGN0262057,FBGN0037153,FBGN0000116,FBGN0013763,FBGN0034638,FBGN0036299,FBGN0261284,FBGN0028514,FBGN0038198,FBGN0003502,FBGN0028990,FBGN0028542,FBGN0044047,FBGN0052412,FBGN0260745,FBGN0026721,FBGN0032638,FBGN0000299,FBGN0267488,FBGN0032029,FBGN0010225,FBGN0030349,FBGN0041629,FBGN0010470,FBGN0000079,FBGN0001114,FBGN0034391,FBGN0031285,FBGN0030326,FBGN0039485,FBGN0000416,FBGN0033113,FBGN0286782,FBGN0011259,FBGN0033649,FBGN0016075,FBGN0031888,FBGN0028543,FBGN0041180,FBGN0046763,FBGN0033926,FBGN0031461,FBGN0039494,FBGN0013770,FBGN0034476,FBGN0030362,FBGN0036752,FBGN0265048,FBGN0020414,FBGN0041604,FBGN0033268,FBGN0000490,FBGN0033033,FBGN0029002,FBGN0038912,FBGN0027578,FBGN0262870,FBGN0032601,FBGN0011592,FBGN0038595,FBGN0265140,FBGN0287423,FBGN0035932,FBGN0033483,FBGN0263593,FBGN0035496,FBGN0270927,FBGN0020416,FBGN0034753,FBGN0041183,FBGN0040308,FBGN0010194,FBGN0001257,FBGN0036147,FBGN0085249,FBGN0039759,FBGN0035076,FBGN0027929,FBGN0022702,FBGN0035539,FBGN0265011,FBGN0052185,FBGN0030884,FBGN0031973,FBGN0063923,FBGN0031968,FBGN0031097,FBGN0030051,FBGN0014141,FBGN0016032,FBGN0025390,FBGN0036101,FBGN0035023,FBGN0034417
GO:0006950	FBGN0003360,FBGN0029167,FBGN0001226,FBGN0262733,FBGN0264437,FBGN0001224,FBGN0283437,FBGN0038149,FBGN0001225,FBGN0033367,FBGN0261800,FBGN0262057,FBGN0013763,FBGN0034638,FBGN0261560,FBGN0003502,FBGN0039714,FBGN0033426,FBGN0028990,FBGN0039113,FBGN0043841,FBGN0266064,FBGN0038805,FBGN0004507,FBGN0035150,FBGN0044047,FBGN0011274,FBGN0263873,FBGN0027594,FBGN0025678,FBGN0039809,FBGN0032638,FBGN0033782,FBGN0267488,FBGN0001122,FBGN0036896,FBGN0005660,FBGN0262579,FBGN0027348,FBGN0001114,FBGN0033188,FBGN0013576,FBGN0003447,FBGN0039593,FBGN0261278,FBGN0031055,FBGN0010395,FBGN0003317,FBGN0000146,FBGN0032451,FBGN0031888,FBGN0040290,FBGN0041180,FBGN0261258,FBGN0000565,FBGN0033926,FBGN0039494,FBGN0261547,FBGN0034476,FBGN0262103,FBGN0036752,FBGN0086358,FBGN0266377,FBGN0020414,FBGN0011674,FBGN0086687,FBGN0001297,FBGN0020618,FBGN0013548,FBGN0038815,FBGN0038049,FBGN0031268,FBGN0033402,FBGN0003041,FBGN0031148,FBGN0027375,FBGN0028434,FBGN0266421,FBGN0034793,FBGN0039876,FBGN0050185,FBGN0028540,FBGN0034894,FBGN0261109,FBGN0039209,FBGN0035132,FBGN0033153,FBGN0038465,FBGN0035850,FBGN0035644,FBGN0033483,FBGN0051216,FBGN0014033,FBGN0263593,FBGN0038391,FBGN0004584,FBGN0020416,FBGN0003117,FBGN0286785,FBGN0087035,FBGN0051005,FBGN0041183,FBGN0010246,FBGN0025574,FBGN0243512,FBGN0001197,FBGN0260936,FBGN0003053,FBGN0034029,FBGN0027657,FBGN0032698,FBGN0040308,FBGN0011754,FBGN0041191,FBGN0052133,FBGN0001257,FBGN0035113,FBGN0038118,FBGN0023169,FBGN0036053,FBGN0004512,FBGN0028646,FBGN0032026,FBGN0029870,FBGN0026319,FBGN0265003,FBGN0002891,FBGN0029504,FBGN0040660,FBGN0022702,FBGN0283531,FBGN0033890,FBGN0025693,FBGN0000147,FBGN0052185,FBGN0031399,FBGN0041627,FBGN0036746,FBGN0031973,FBGN0020249,FBGN0026323,FBGN0026143,FBGN0020633,FBGN0030051,FBGN0011659,FBGN0261283,FBGN0060296,FBGN0031540,FBGN0260632,FBGN0040070,FBGN0000547,FBGN0038145,FBGN0035023,FBGN0032202,FBGN0052251,FBGN0010909,FBGN0033663,FBGN0041171
GO:0016491	FBGN0039827,FBGN0261673,FBGN0283437,FBGN0038149,FBGN0032405,FBGN0033367,FBGN0000406,FBGN0001258,FBGN0030041,FBGN0037153,FBGN0022160,FBGN0086450,FBGN0033065,FBGN0036824,FBGN0036663,FBGN0033775,FBGN0030529,FBGN0025678,FBGN0035344,FBGN0031689,FBGN0039098,FBGN0030598,FBGN0031117,FBGN0039776,FBGN0001091,FBGN0032775,FBGN0013680,FBGN0033188,FBGN0025628,FBGN0034067,FBGN0000447,FBGN0010222,FBGN0000565,FBGN0033079,FBGN0086687,FBGN0023507,FBGN0031148,FBGN0039651,FBGN0028325,FBGN0035811,FBGN0027552,FBGN0031688,FBGN0039756,FBGN0031126,FBGN0030966,FBGN0038465,FBGN0286198,FBGN0036290,FBGN0261445,FBGN0029975,FBGN0037896,FBGN0027657,FBGN0267408,FBGN0040308,FBGN0014469,FBGN0033205,FBGN0033292,FBGN0036147,FBGN0013685,FBGN0030026,FBGN0036857,FBGN0283531,FBGN0023537,FBGN0262782,FBGN0034914,FBGN0039006,FBGN0031771,FBGN0033302,FBGN0038349,FBGN0030485,FBGN0033204,FBGN0034390,FBGN0030588,FBGN0032805,FBGN0040070,FBGN0033663,FBGN0003308,FBGN0032603
GO:0044281	FBGN0003360,FBGN0027279,FBGN0283658,FBGN0035147,FBGN0039464,FBGN0051523,FBGN0001258,FBGN0030041,FBGN0037239,FBGN0037153,FBGN0027580,FBGN0022160,FBGN0038198,FBGN0037646,FBGN0031703,FBGN0086450,FBGN0259749,FBGN0029801,FBGN0266064,FBGN0001124,FBGN0004507,FBGN0036663,FBGN0261808,FBGN0010591,FBGN0086355,FBGN0027091,FBGN0035266,FBGN0030598,FBGN0003074,FBGN0001091,FBGN0262579,FBGN0032775,FBGN0027348,FBGN0033188,FBGN0266452,FBGN0014869,FBGN0000579,FBGN0250906,FBGN0014906,FBGN0024150,FBGN0031489,FBGN0000447,FBGN0010222,FBGN0283680,FBGN0022338,FBGN0000565,FBGN0260960,FBGN0262103,FBGN0030362,FBGN0036752,FBGN0027843,FBGN0266377,FBGN0038237,FBGN0023477,FBGN0270926,FBGN0032820,FBGN0086687,FBGN0029664,FBGN0030052,FBGN0020618,FBGN0042094,FBGN0023507,FBGN0031148,FBGN0032436,FBGN0032482,FBGN0028325,FBGN0032881,FBGN0036821,FBGN0035811,FBGN0039756,FBGN0031992,FBGN0027945,FBGN0286198,FBGN0023129,FBGN0029823,FBGN0263593,FBGN0051005,FBGN0027621,FBGN0267408,FBGN0000064,FBGN0011754,FBGN0051477,FBGN0039580,FBGN0012034,FBGN0030482,FBGN0029870,FBGN0261285,FBGN0025352,FBGN0023537,FBGN0262782,FBGN0033717,FBGN0034644,FBGN0039094,FBGN0261283,FBGN0053056,FBGN0034390,FBGN0030588,FBGN0263200,FBGN0030612,FBGN0003308
GO:0005978	FBGN0003076,FBGN0266064,FBGN0036862,FBGN0020618,FBGN0053138,FBGN0034950,FBGN0011754,FBGN0265191
GO:0009250	FBGN0003076,FBGN0266064,FBGN0036862,FBGN0020618,FBGN0053138,FBGN0034950,FBGN0011754,FBGN0265191
GO:0019991	FBGN0036299,FBGN0261284,FBGN0037680,FBGN0267488,FBGN0001122,FBGN0015777,FBGN0010894,FBGN0037240,FBGN0038545,FBGN0031268,FBGN0250785,FBGN0013997,FBGN0032421,FBGN0033032
GO:0060856	FBGN0037680,FBGN0001122,FBGN0015777,FBGN0010382,FBGN0010894,FBGN0037240,FBGN0038545,FBGN0031268,FBGN0034970,FBGN0013997,FBGN0033032
GO:0016765	FBGN0063498,FBGN0063492,FBGN0034354,FBGN0031117,FBGN0063493,FBGN0010786,FBGN0027590,FBGN0051005,FBGN0038020,FBGN0028970,FBGN0036194,FBGN0036272,FBGN0063494,FBGN0063491,FBGN0250732
GO:0004364	FBGN0063498,FBGN0063492,FBGN0034354,FBGN0031117,FBGN0063493,FBGN0027590,FBGN0038020,FBGN0063494,FBGN0063491,FBGN0250732
GO:0005615	FBGN0026562,FBGN0029167,FBGN0000071,FBGN0040099,FBGN0011260,FBGN0037290,FBGN0001137,FBGN0040271,FBGN0033367,FBGN0039257,FBGN0262057,FBGN0037153,FBGN0013763,FBGN0034638,FBGN0036299,FBGN0028514,FBGN0038198,FBGN0028990,FBGN0044047,FBGN0260745,FBGN0032638,FBGN0000299,FBGN0267488,FBGN0032029,FBGN0030349,FBGN0041629,FBGN0010470,FBGN0000079,FBGN0001114,FBGN0034391,FBGN0031285,FBGN0030326,FBGN0039485,FBGN0000416,FBGN0033113,FBGN0011259,FBGN0033649,FBGN0016075,FBGN0031888,FBGN0041180,FBGN0046763,FBGN0031461,FBGN0013770,FBGN0034476,FBGN0030362,FBGN0036752,FBGN0265048,FBGN0000490,FBGN0033033,FBGN0038912,FBGN0038595,FBGN0287423,FBGN0033483,FBGN0035496,FBGN0270927,FBGN0034753,FBGN0041183,FBGN0040308,FBGN0010194,FBGN0001257,FBGN0036147,FBGN0039759,FBGN0035076,FBGN0022702,FBGN0265011,FBGN0052185,FBGN0030884,FBGN0031973,FBGN0031968,FBGN0035023,FBGN0034417
GO:0120192	FBGN0036299,FBGN0261284,FBGN0037680,FBGN0267488,FBGN0001122,FBGN0015777,FBGN0010894,FBGN0037240,FBGN0038545,FBGN0031268,FBGN0250785,FBGN0013997,FBGN0032421,FBGN0033032
GO:0120193	FBGN0036299,FBGN0261284,FBGN0037680,FBGN0267488,FBGN0001122,FBGN0015777,FBGN0010894,FBGN0037240,FBGN0038545,FBGN0031268,FBGN0250785,FBGN0013997,FBGN0032421,FBGN0033032
GO:0016051	FBGN0027580,FBGN0003076,FBGN0266064,FBGN0086355,FBGN0003074,FBGN0250906,FBGN0036862,FBGN0030362,FBGN0032820,FBGN0020618,FBGN0053138,FBGN0034950,FBGN0261445,FBGN0011754,FBGN0265191,FBGN0035287
GO:0000271	FBGN0003076,FBGN0266064,FBGN0036862,FBGN0020618,FBGN0053138,FBGN0034950,FBGN0261445,FBGN0011754,FBGN0265191
GO:0033692	FBGN0003076,FBGN0266064,FBGN0036862,FBGN0020618,FBGN0053138,FBGN0034950,FBGN0261445,FBGN0011754,FBGN0265191
GO:0016052	FBGN0035147,FBGN0003748,FBGN0266064,FBGN0004507,FBGN0086355,FBGN0003074,FBGN0001091,FBGN0014869,FBGN0000579,FBGN0250906,FBGN0262103,FBGN0035850,FBGN0270927,FBGN0027621,FBGN0000064,FBGN0011754,FBGN0263200,FBGN0034417
GO:0044283	FBGN0027279,FBGN0051523,FBGN0030041,FBGN0037153,FBGN0027580,FBGN0038198,FBGN0031703,FBGN0029801,FBGN0001124,FBGN0036663,FBGN0086355,FBGN0003074,FBGN0027348,FBGN0250906,FBGN0014906,FBGN0283680,FBGN0260960,FBGN0030362,FBGN0036752,FBGN0270926,FBGN0032820,FBGN0086687,FBGN0031148,FBGN0036821,FBGN0039756,FBGN0286198,FBGN0023129,FBGN0029823,FBGN0051005,FBGN0012034,FBGN0030482,FBGN0029870,FBGN0034644,FBGN0039094,FBGN0261283
GO:0009607	FBGN0029167,FBGN0001226,FBGN0262733,FBGN0264437,FBGN0283437,FBGN0038149,FBGN0033367,FBGN0261800,FBGN0262057,FBGN0261560,FBGN0028990,FBGN0043841,FBGN0004507,FBGN0011274,FBGN0263873,FBGN0027594,FBGN0032638,FBGN0267488,FBGN0005660,FBGN0262579,FBGN0001114,FBGN0013576,FBGN0039593,FBGN0031055,FBGN0010395,FBGN0003317,FBGN0000146,FBGN0031888,FBGN0041180,FBGN0039494,FBGN0261547,FBGN0034476,FBGN0086358,FBGN0011674,FBGN0001297,FBGN0033402,FBGN0034793,FBGN0028540,FBGN0035850,FBGN0033483,FBGN0014033,FBGN0038391,FBGN0003117,FBGN0087035,FBGN0041183,FBGN0010246,FBGN0025574,FBGN0243512,FBGN0001197,FBGN0260936,FBGN0040308,FBGN0052133,FBGN0053329,FBGN0086357,FBGN0026319,FBGN0040660,FBGN0283531,FBGN0052185,FBGN0031973,FBGN0026323,FBGN0030051,FBGN0260632,FBGN0040070
GO:0043207	FBGN0029167,FBGN0001226,FBGN0262733,FBGN0264437,FBGN0283437,FBGN0038149,FBGN0033367,FBGN0261800,FBGN0262057,FBGN0261560,FBGN0028990,FBGN0043841,FBGN0004507,FBGN0011274,FBGN0263873,FBGN0027594,FBGN0032638,FBGN0267488,FBGN0005660,FBGN0262579,FBGN0001114,FBGN0013576,FBGN0039593,FBGN0031055,FBGN0010395,FBGN0003317,FBGN0000146,FBGN0031888,FBGN0041180,FBGN0039494,FBGN0261547,FBGN0034476,FBGN0086358,FBGN0011674,FBGN0001297,FBGN0033402,FBGN0034793,FBGN0028540,FBGN0035850,FBGN0033483,FBGN0014033,FBGN0038391,FBGN0003117,FBGN0087035,FBGN0041183,FBGN0010246,FBGN0025574,FBGN0243512,FBGN0001197,FBGN0260936,FBGN0040308,FBGN0052133,FBGN0053329,FBGN0086357,FBGN0026319,FBGN0040660,FBGN0283531,FBGN0052185,FBGN0031973,FBGN0026323,FBGN0030051,FBGN0260632,FBGN0040070
