category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	p_adjust_over_represented	p_adjust_under_represented
GO:0005576	1.64668479430669e-09	1	109	1064	extracellular region	CC	2.01126080776619e-05	1
GO:0006950	9.26605779224151e-09	1	158	1317	response to stress	BP	5.65878149372189e-05	1
GO:0016491	3.07364481293182e-08	1	78	603	oxidoreductase activity	MF	0.000125138325817164	1
GO:0044281	2.43664508604003e-07	1	100	809	small molecule metabolic process	BP	0.000681724502263377	1
GO:0005978	3.34890045323421e-07	0.999999992009844	8	10	glycogen biosynthetic process	BP	0.000681724502263377	1
GO:0009250	3.34890045323421e-07	0.999999992009844	8	10	glucan biosynthetic process	BP	0.000681724502263377	1
GO:0019991	4.22109712810293e-07	0.999999945335668	14	37	septate junction assembly	BP	0.000736521147466418	1
GO:0060856	4.94792160820302e-07	0.999999958638563	11	22	establishment of blood-brain barrier	BP	0.000755423931532396	1
GO:0016765	1.88060986945403e-06	0.999999664340565	15	68	transferase activity, transferring alkyl or aryl (other than methyl) groups	MF	0.00252110425513045	1
GO:0004364	2.16154534126591e-06	0.999999767583866	10	40	glutathione transferase activity	MF	0.00252110425513045	1
GO:0005615	2.67507543691428e-06	0.999998721567632	71	705	extracellular space	CC	0.00252110425513045	1
GO:0120192	2.68334332050891e-06	0.999999577672881	14	41	tight junction assembly	BP	0.00252110425513045	1
GO:0120193	2.68334332050891e-06	0.999999577672881	14	41	tight junction organization	BP	0.00252110425513045	1
GO:0016051	2.95787149871819e-06	0.999999450903143	16	50	carbohydrate biosynthetic process	BP	0.002580531606096	1
GO:0000271	5.05367302108865e-06	0.999999623795221	9	16	polysaccharide biosynthetic process	BP	0.00385784764247355	1
GO:0033692	5.05367302108865e-06	0.999999623795221	9	16	cellular polysaccharide biosynthetic process	BP	0.00385784764247355	1
GO:0016052	6.50186553458871e-06	0.999998506495441	18	70	carbohydrate catabolic process	BP	0.0041411472700835	1
GO:0044283	6.94072083750411e-06	0.999997354285186	35	222	small molecule biosynthetic process	BP	0.0041411472700835	1
GO:0009607	7.30243687892495e-06	0.999996558515715	63	488	response to biotic stimulus	BP	0.0041411472700835	1
GO:0043207	7.30243687892495e-06	0.999996558515715	63	488	response to external biotic stimulus	BP	0.0041411472700835	1
GO:0051707	7.30243687892495e-06	0.999996558515715	63	488	response to other organism	BP	0.0041411472700835	1
GO:0009617	7.63862511572318e-06	0.999996861244131	40	284	response to bacterium	BP	0.0041411472700835	1
GO:0042742	8.05270418998157e-06	0.999996773424878	38	255	defense response to bacterium	BP	0.0041411472700835	1
GO:0098542	8.13718147060783e-06	0.999996213983957	60	450	defense response to other organism	BP	0.0041411472700835	1
GO:0009611	1.07729366727062e-05	0.999996465267896	27	126	response to wounding	BP	0.00510183512451131	1
GO:0006952	1.08603007399127e-05	0.99999469826743	61	469	defense response	BP	0.00510183512451131	1
GO:0006749	1.16175284194267e-05	0.999998078052348	12	53	glutathione metabolic process	BP	0.00525542563388438	1
GO:0032501	1.31393575979979e-05	0.999990716987194	356	3567	multicellular organismal process	BP	0.00557163987624064	1
GO:0005829	1.32288813174209e-05	0.999992243491439	107	1265	cytosol	CC	0.00557163987624064	1
GO:0034637	1.60358798224727e-05	0.999998128130154	10	23	cellular carbohydrate biosynthetic process	BP	0.00652874120505604	1
GO:0005975	1.71797819371418e-05	0.999992424415067	44	271	carbohydrate metabolic process	BP	0.00676883408323388	1
GO:0043297	2.69354728621847e-05	0.999994578205092	14	47	apical junction assembly	BP	0.0102297716542817	1
GO:0060857	2.7638976960152e-05	0.999997639061527	8	16	establishment of glial blood-brain barrier	BP	0.0102297716542817	1
GO:0044419	3.02869085420202e-05	0.999983988203283	65	535	biological process involved in interspecies interaction between organisms	BP	0.0108801264980069	1
GO:0050896	3.25735504303136e-05	0.999976521976544	303	3001	response to stimulus	BP	0.01136723842731	1
GO:0090066	3.79994501216035e-05	0.999983010245528	42	234	regulation of anatomical structure size	BP	0.0128923689940352	1
GO:0046364	5.15858752274015e-05	0.999997149015623	6	11	monosaccharide biosynthetic process	BP	0.0170289156764184	1
GO:0002376	6.45598415781079e-05	0.999965554388363	62	464	immune system process	BP	0.0207508922377634	1
GO:0006082	6.99590446150157e-05	0.999964849039764	51	388	organic acid metabolic process	BP	0.0219097377160975	1
GO:0035150	7.96497831967581e-05	0.999980917369077	15	53	regulation of tube size	BP	0.0236797662610004	1
