category	de_genes
00010	FBGN0001258,FBGN0003076,FBGN0086355,FBGN0003074,FBGN0001091,FBGN0014869,FBGN0000579,FBGN0250906,FBGN0032820,FBGN0028325,FBGN0028540,FBGN0000064,FBGN0012034,FBGN0036857
01100	FBGN0040091,FBGN0035147,FBGN0039464,FBGN0001258,FBGN0030041,FBGN0027580,FBGN0050463,FBGN0031703,FBGN0086450,FBGN0003076,FBGN0259749,FBGN0033065,FBGN0001124,FBGN0036824,FBGN0036663,FBGN0033775,FBGN0039809,FBGN0010591,FBGN0086355,FBGN0031689,FBGN0039640,FBGN0035266,FBGN0003074,FBGN0039776,FBGN0001091,FBGN0038660,FBGN0015568,FBGN0041629,FBGN0032775,FBGN0013680,FBGN0000079,FBGN0041342,FBGN0014869,FBGN0000579,FBGN0250906,FBGN0030662,FBGN0037607,FBGN0031489,FBGN0000447,FBGN0010222,FBGN0036752,FBGN0010786,FBGN0023477,FBGN0032820,FBGN0042094,FBGN0031148,FBGN0053138,FBGN0032482,FBGN0039651,FBGN0037046,FBGN0032078,FBGN0028325,FBGN0032881,FBGN0028540,FBGN0036821,FBGN0035811,FBGN0027552,FBGN0031688,FBGN0031126,FBGN0035644,FBGN0023129,FBGN0029823,FBGN0033844,FBGN0029975,FBGN0019957,FBGN0026576,FBGN0020764,FBGN0000064,FBGN0014469,FBGN0051477,FBGN0039580,FBGN0036272,FBGN0028671,FBGN0012034,FBGN0033292,FBGN0085468,FBGN0014417,FBGN0036053,FBGN0030482,FBGN0013685,FBGN0002891,FBGN0030361,FBGN0025352,FBGN0036857,FBGN0023537,FBGN0039006,FBGN0031771,FBGN0030884,FBGN0030485,FBGN0260746,FBGN0039094,FBGN0034390,FBGN0031048,FBGN0030612,FBGN0034417,FBGN0003308
00030	FBGN0003076,FBGN0003074,FBGN0037607,FBGN0023477,FBGN0032820,FBGN0000064,FBGN0034390
00480	FBGN0063498,FBGN0039640,FBGN0031117,FBGN0063493,FBGN0038020,FBGN0036272,FBGN0030361,FBGN0063494,FBGN0063491,FBGN0034390,FBGN0250732
00280	FBGN0036824,FBGN0035811,FBGN0030482,FBGN0025352,FBGN0036857,FBGN0023537,FBGN0034390,FBGN0030612
00071	FBGN0031703,FBGN0036824,FBGN0032775,FBGN0036821,FBGN0035811,FBGN0025352,FBGN0036857
04512	FBGN0029167,FBGN0029896,FBGN0000299,FBGN0016075
00531	FBGN0038660,FBGN0041629,FBGN0014417,FBGN0260746,FBGN0034417
00982	FBGN0040091,FBGN0063498,FBGN0031117,FBGN0033079,FBGN0063493,FBGN0038020,FBGN0063494,FBGN0063491,FBGN0250732
00051	FBGN0086355,FBGN0032820,FBGN0027552,FBGN0029975,FBGN0027621,FBGN0000064
