category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	p_adjust_over_represented	p_adjust_under_represented
00010	2.05063769648692e-05	0.999996086029403	14	47	0.00260430987453839	1
01100	8.2027632554107e-05	0.999955987077392	96	871	0.00520875466718579	1
00030	0.00129899817679932	0.999796008662722	7	22	0.0549909228178379	1
00480	0.00189406497047164	0.999479863524908	11	59	0.0601365628124746	1
00280	0.00345052107021624	0.9992290425026	8	32	0.0876432351834926	1
00071	0.00753915959835802	0.99827538285178	7	28	0.159578878165245	1
04512	0.0110380007220979	0.998813977208491	4	8	0.173710218310968	1
00531	0.0112267509692041	0.998103065487341	5	15	0.173710218310968	1
00982	0.0123101729511709	0.996065309367063	9	59	0.173710218310968	1
00051	0.0178294534065123	0.99560709293382	6	29	0.226434058262706	1
00260	0.0230401612821023	0.994064574344173	6	26	0.266009134802454	1
00980	0.0305942726509127	0.989235432758313	8	58	0.316592028964092	1
00460	0.0324070580829386	0.998753929516806	2	3	0.316592028964092	1
00640	0.0389660882444899	0.990107768388016	5	22	0.353478086217873	1
04145	0.0521597340323901	0.978456657294258	9	58	0.419530449448065	1
00520	0.0528542298517247	0.98112427957776	7	39	0.419530449448065	1
00410	0.0623369733998265	0.984993161833823	4	17	0.465693860104586	1
00500	0.0880797803998964	0.961657057249684	8	53	0.597656477544246	1
00270	0.089413173805832	0.974671534482012	4	23	0.597656477544246	1
00300	0.094383538092616	1	1	1	0.599335466888112	1
00620	0.118563871407858	0.95175833925472	6	41	0.710443650945923	1
00604	0.123068978904018	0.982271804885728	2	6	0.710443650945923	1
00730	0.141215466892594	0.992935686077433	1	3	0.749890563480278	1
00591	0.155408248892599	0.970747858703911	2	10	0.749890563480278	1
04320	0.156911076126637	0.938599473245638	5	25	0.749890563480278	1
00052	0.157582217806481	0.944592654883052	4	26	0.749890563480278	1
01040	0.168010441310499	0.95141408532045	3	16	0.749890563480278	1
00770	0.170703497622278	0.967367266537875	2	8	0.749890563480278	1
00232	0.171234853078174	0.992007678747164	1	2	0.749890563480278	1
00100	0.181666372880868	0.990949569361597	1	2	0.750744483770978	1
00910	0.183252590526774	0.94351097911882	3	20	0.750744483770978	1
00983	0.204533277199263	0.895495338603422	7	55	0.811741443884574	1
00670	0.222274057213726	0.946810559409724	2	11	0.85541834139828	1
