GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene symbol
FBgn0026562	43868.5455480573	-2.38255375304794	0.0835225231263837	-28.5258833649306	5.59510659347707e-179	4.84032671401702e-175	chr3R	26869237	26871995	-	protein_coding	SPARC
FBgn0039155	735.939136596636	-4.07674246605722	0.144657905723644	-28.1819541466712	9.73174434919361e-175	2.80631067882913e-171	chr3R	24141394	24147490	+	protein_coding	Kal1
FBgn0003360	4392.7577141093	-2.99542318408683	0.106239999059916	-28.1948720876542	6.75849189970665e-175	2.80631067882913e-171	chrX	10780892	10786958	-	protein_coding	sesB
FBgn0025111	1508.08707143002	2.6803835034672	0.0992245312643699	27.0133148457582	1.03100951592471e-160	2.22981583056617e-157	chrX	10778953	10786907	-	protein_coding	Ant2
FBgn0029167	3663.82173154691	-2.11124928853084	0.0911704728081718	-23.1571606848309	1.23126722910346e-118	2.13033855979481e-115	chr3L	13846053	13860001	+	protein_coding	Hml
FBgn0039827	265.07817718924	-3.37069793823606	0.169769330544757	-19.8545751898777	1.00609692837863e-87	1.45062408790058e-84	chr3R	31196915	31203722	+	protein_coding	CG1544
FBgn0035085	644.366837429722	-2.418618419232	0.121932427323997	-19.8357276428632	1.46382929848511e-87	1.80908389445639e-84	chr2R	24945138	24946636	+	protein_coding	CG3770
FBgn0264475	650.947679886028	-2.31429990152406	0.131223751014265	-17.6362882758356	1.29705950411124e-69	1.40260772125829e-66	chr3L	820758	821512	+	ncRNA	lncRNA:CR43883
FBgn0034736	222.308995848072	-2.92757215646614	0.171225309801882	-17.0977769574692	1.54173872610343e-65	1.4819535243912e-62	chr2R	22550093	22552113	+	protein_coding	gas
FBgn0000071	322.085805028094	2.33699940164742	0.144138800736703	16.2135343828509	4.04614943737725e-59	3.50032387827506e-56	chr3R	6762592	6765261	+	protein_coding	Ama
FBgn0029896	477.291034028138	-2.1748662145597	0.137603340900504	-15.8053300183479	2.85889263567797e-56	2.24838910829547e-53	chrX	6720003	6739986	-	protein_coding	CG3168
FBgn0038832	290.155365602645	-2.28372207623921	0.166853803528244	-13.6869644440119	1.21479115142994e-42	8.75763187585037e-40	chr3R	20842139	20844981	+	protein_coding	CG15695
FBgn0027279	2946.64213921217	-1.16269191876214	0.0860494833773824	-13.5118988880268	1.33044932839134e-41	8.85362856916422e-39	chrX	22487179	22508129	+	protein_coding	l(1)G0196
FBgn0035189	207.86310008807	2.35990537059714	0.182328597404074	12.9431444337125	2.56895527608697e-38	1.58743086381631e-35	chr3L	1203315	1204795	-	protein_coding	CG9119
FBgn0001226	1188.39103759586	1.55764685857491	0.123521824619971	12.6102967096478	1.85294109339811e-36	1.0686528932658e-33	chr3L	9384062	9385694	+	protein_coding	Hsp27
FBgn0040091	1090.94411316351	-1.46340061438253	0.116293333838956	-12.5837016282383	2.59575596990755e-36	1.40349280597939e-33	chr2R	22641785	22643917	-	protein_coding	Ugt317A1
FBgn0040099	858.740248668437	-1.63623036756733	0.130118861161248	-12.5748900118304	2.902039080415e-36	1.47679647556884e-33	chr2L	7857076	7860120	+	protein_coding	lectin-28C
FBgn0023479	3098.55704032873	-1.43344793545612	0.115450180963136	-12.4161601436886	2.13568392582959e-35	1.0264334245751e-32	chr3L	9074642	9092131	+	protein_coding	teq
FBgn0264753	114.967338028304	-2.43091707618949	0.196412549680415	-12.376587342025	3.49907346464316e-35	1.59318339698042e-32	chr2R	19311147	19356525	-	protein_coding	Rgk1
FBgn0011260	196.142303063605	1.93650452760256	0.157112392262671	12.3256001624937	6.59506321079201e-35	2.85269459182808e-32	chr2R	16500177	16533459	+	protein_coding	Sema2a
FBgn0039419	1812.12278905736	-1.11684352842784	0.091208486663145	-12.2449518601554	1.78783133957469e-34	7.36501377079079e-32	chr3R	26230247	26234700	+	protein_coding	CG12290
FBgn0262733	371.009528424049	1.82613315137594	0.153884797187807	11.8668847394148	1.75896212230137e-32	6.91671878183144e-30	chr3L	4592446	4626196	-	protein_coding	Src64B
FBgn0261552	6035.53705762537	-1.61734618601247	0.137034410365027	-11.8024821773177	3.78965376075108e-32	1.42540411670685e-29	chr3R	9417939	9455500	+	protein_coding	ps
FBgn0033913	5118.11723962841	-1.12623017296764	0.0969027092889468	-11.6222774495336	3.1755642775834e-31	1.14465860689058e-28	chr2R	14219897	14230620	+	protein_coding	CG8468
FBgn0037754	218.39337298169	-1.96113655452061	0.170096247066574	-11.52956980734	9.36102999655842e-31	3.23929082000908e-28	chr3R	9784652	9789323	+	protein_coding	CG8500
FBgn0085359	68.0989508465214	-2.60560460465746	0.226819622920894	-11.4875625446489	1.52350033781433e-30	5.069154393243e-28	chrX	19068274	19068973	-	protein_coding	CG34330
FBgn0024288	58.8431949734756	-2.55128405048209	0.224463183984873	-11.3661581609482	6.16414358886366e-30	1.9750372661948e-27	chr3R	31065252	31083407	+	protein_coding	Sox100B
FBgn0031150	803.838218739031	1.18389374390611	0.105149796827713	11.259115848278	2.08843460328848e-29	6.45251705466023e-27	chrX	21053962	21082391	+	protein_coding	bves
FBgn0052407	192.857775362934	-1.80911695721954	0.160806335673899	-11.2502840739327	2.30847366077791e-29	6.88641573772057e-27	chr3L	5922054	5923567	+	protein_coding	CG32407
FBgn0051092	155.651206370697	1.88852456873973	0.168968370823866	11.1767933816935	5.29694756179008e-29	1.52746311190153e-26	chr3R	25698726	25740465	-	protein_coding	LpR2
FBgn0034010	525.879538634805	-1.33216262578644	0.122718232683877	-10.8554580411706	1.87862555852352e-27	5.07874678337092e-25	chr2R	15325502	15326386	-	protein_coding	CG8157
FBgn0283658	1334.55251816393	-1.08366060779354	0.0999864941736069	-10.8380698488336	2.27214190630189e-27	5.95645443376291e-25	chr2L	7426865	7430329	+	protein_coding	muc
FBgn0035147	19507.7643398384	-1.11827059735335	0.105190841341871	-10.630874162504	2.14096198969831e-26	5.44748887437648e-24	chr3L	648554	651311	+	protein_coding	Gale
FBgn0264437	133.415495049894	2.09110023656166	0.19683888638085	10.6234102163926	2.3193015849903e-26	5.73265086050032e-24	chr2L	8590369	8594489	-	ncRNA	lncRNA:CR43855
FBgn0261673	64.1286595544736	2.24691013734803	0.213566482399212	10.5208931294189	6.92143441095988e-26	1.66325914136705e-23	chr2R	12659496	12670219	-	protein_coding	nemy
FBgn0003748	1082.06931717803	1.03747160377037	0.0990577462200439	10.4734020645469	1.14454162746739e-25	2.67606205924876e-23	chr2R	21074017	21088945	+	protein_coding	Treh
FBgn0001224	583.230032924849	1.34216708732551	0.128414941386119	10.4517984654906	1.43772612245324e-25	3.27309702245868e-23	chr3L	9381881	9382765	+	protein_coding	Hsp23
FBgn0040827	213.809415969489	-1.65963297477424	0.159894461243242	-10.3795526240868	3.07211412064617e-25	6.81457929684872e-23	chr3L	9096876	9097494	+	protein_coding	CG13315
FBgn0261596	16579.9400664631	-1.04359181625594	0.101500042889849	-10.2816884263634	8.52213919565058e-25	1.79817137028227e-22	chr2R	22640525	22641419	-	protein_coding	RpS24
FBgn0283437	5777.06499152111	1.36812627418597	0.133482935698654	10.2494469950421	1.19022536153535e-24	2.45158085777198e-22	chr2R	17887219	17889973	-	protein_coding	PPO1
FBgn0037290	69.6307607595817	2.12228559247284	0.211628008331868	10.0283776670276	1.14380450585359e-23	2.30117506514871e-21	chr3R	4965444	4968485	+	protein_coding	CG1124
FBgn0016715	138.411376147527	-1.83162439606731	0.18268583540727	-10.0260887330645	1.17062244095251e-23	2.30160334924549e-21	chr3L	605164	606569	-	protein_coding	Reg-2
FBgn0039109	456.001011959663	-1.24225032558731	0.12435583506145	-9.9894815950812	1.69465673971653e-23	3.25788343450838e-21	chr3R	23723330	23731499	+	protein_coding	CG10365
FBgn0063649	584.060230873279	-1.14429138724126	0.119492368876296	-9.57627167326376	1.00611418017602e-21	1.89215082015277e-19	chr3R	16154981	16171766	+	protein_coding	CG6006
